,IDN,ISBN,year,author,language,original language,title,uniform title,publisher,country
0,9959032210903338,9788664072113,2022,"Reyer, Sophie",srp,ger,: izabrane pesme,fail,Beograd,XA-RS
1,990056743370603338,9788467582468,octubre de 2015,"Brezina, Thomas",spa,ger,¡Ah del barco fantasma!,Geisterschiff ahoi!,Boadilla del Monte (Madrid),XA-ES
2,990037600490603338,9788483430873,2010,"Nöstlinger, Christine",spa,ger,¡Ojo! ¡Vranek parece totalmente inofensivo!,Achtung! Vranek sieht ganz harmlos aus,[Barcelona],XA-ES
3,990044392180603338,9788492649310,2010,"Zweig, Stefan",spa,ger,¿Fue él?,War er es? <<span.>>,Barcelona,XA-ES
5,9958505677803338,9782351281475,[2018],"Trakl, Georg",fre,ger,... Et des soleils éternellement recommencés nous accomplissent,fail,Montélimar (Drôme),XA-FR
6,990050244650603338,9783743109292,[2017],fail,rus,ger,... Na bereg ticho vybralas' lubov' ...,fail,Norderstedt,XA-DE-SH
18,990049796920603338,9787115422934,2016 nian 7 yue,"Brezina, Thomas",chi,ger,"""Gui wu"" si wang gong shi",<<Das>> Geheimnis der grauen Villa,Bei jing,XB-CN
19,9958507277703338,9787115476067,2018 nian 3 yue,"Brezina, Thomas",chi,ger,"""Gui"" zhao pian",<<Das>> unheimliche Foto,Bei jing,XB-CN
31,990037624500603338,9788087053492,2010,"Aichinger, Ilse",cze,ger,(Vrabec v hrsti),fail,Příbram,XA-CZ
38,9958562479203338,9789187393525,2018,"Haushofer, Marlen",swe,ger,18 noveller,fail,Lund,XA-SE
42,9958545361903338,9788075114228,2018,"Brendel, Alfred",cze,ger,2 x 2 = 13,fail,Praha,XA-CZ
45,9958805474003338,9789639869653,[2019],"Weninger, Brigitte",hun,ger,24 karácsonyi mese,Geschichten aus dem Weihnachtswald,[Budapest],XA-HU
47,990038944870603338,9780670919994,2010,"Kampusch, Natascha",eng,ger,"3,096 days",3096 Tage,London,fail
